Assay	term	Day1	TR1	SRF1	Day2	TR2	SRF2	null.value	estimate	std.error	df	statistic	p.value	adj.p.value	Day	group1	group2	emmean1	emmean2	x1	x2	x_center	y_position	label	x_offset	x_pos
CD6	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.45962084453858665	0.12785824759463907	1081.7585162356277	3.5947688411604504	3.3931323695433766e-4	0.0011965256250495064	7	Anakinra.No	Anakinra.Yes	0.3523290587037548	-0.10729178583483184	1	3	2	0.5523290587037548	**	-0.15	2.85
SCF	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.311689496580903	0.1257968795250832	1013.0771325781564	2.4777204153045296	0.013384590089380602	0.03077343007805447	4	Anakinra.No	Anakinra.Yes	0.032839659658256526	-0.2788498369226465	1	3	2	0.23283965965825654	*	-0.15	1.85
SCF	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.3050066673071844	0.12516463693544344	1000.5529719010739	2.4368437825174105	0.014989520946315879	0.030433269800095874	7	Anakinra.No	Anakinra.Yes	0.05544185230458998	-0.2495648150025944	1	3	2	0.25544185230459	*	-0.15	2.85
SLAMF1	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	0.37734935360454386	0.1309440771502057	1060.9617563434376	2.881759616906438	0.004034302486885821	0.027029826662135	1	Anakinra.No	Anakinra.Yes	0.2892483292408732	-0.08810102436367068	1	3	2	0.4892483292408732	*	-0.15	0.85
SLAMF1	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5042049108512727	0.13382688361956813	1107.435179395417	3.767590615683649	1.7351183179824733e-4	6.981221631963053e-4	4	Anakinra.No	Anakinra.Yes	0.09349781982597147	-0.41070709102530134	1	3	2	0.29349781982597145	***	-0.15	1.85
MCP-4	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	0.40723475300676015	0.12385537984138877	889.5388673189836	3.2879859843655694	0.001048639868116432	0.011709811860633489	1	Anakinra.No	Anakinra.Yes	-0.17290024548603813	-0.5801349984927983	1	3	2	0.027099754513961877	*	-0.15	0.85
CCL11	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.5173565735557089	0.12799735209854582	1089.367917996787	4.041931845257184	5.67393177734925e-5	3.8015342908239976e-4	4	Anakinra.No	Anakinra.Yes	0.13437085372655902	-0.3829857198291498	1	3	2	0.33437085372655906	***	-0.15	1.85
CCL11	Day*Allocation*srf14	Day7	Anakinra	No	Day7	Anakinra	Yes	0	0.4794910854675729	0.12727576302755544	1076.1011388878046	3.7673400972953677	1.7394127355363964e-4	6.47448073782992e-4	7	Anakinra.No	Anakinra.Yes	0.32137908238456464	-0.1581120030830083	1	3	2	0.5213790823845647	***	-0.15	2.85
IL-10RB	Day*Allocation*srf14	Day4	Anakinra	No	Day4	Anakinra	Yes	0	0.3161311422066021	0.12812470074721422	990.3379425935115	2.4673707752131135	0.013779147796143792	0.03077343007805447	4	Anakinra.No	Anakinra.Yes	0.061020971113782324	-0.25511017109281975	1	3	2	0.2610209711137823	*	-0.15	1.85
IL-18R1	Day*Allocation*srf14	Day1	Anakinra	No	Day1	Anakinra	Yes	0	-0.3360291544222386	0.11896132616521228	923.9064890731316	-2.8246924042824193	0.00483448556340872	0.02944641206803493	1	Anakinra.No	Anakinra.Yes	0.3318761106404257	0.6679052650626643	1	3	2	0.8679052650626644	*	-0.15	0.85
