Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL	group	color_class
EN-RAGE	1	Yes	0.036930479060978176	0.09396363013101373	1083.7339905569927	-0.1474407622915119	0.22130172041346827	Yes	SRF+
EN-RAGE	4	Yes	0.480677114470951	0.09668283433872138	1140.2323773771452	0.2909808810412613	0.6703733479006407	Yes	SRF+
EN-RAGE	7	Yes	0.4986125226746279	0.09611003289002383	1128.257331793739	0.31003802565412836	0.6871870196951275	Yes	SRF+
CCL25	1	No	0.21943618232384815	0.05359347233278519	886.6777391706509	0.11425132692850293	0.3246210377191934	No	SRF-
CCL25	4	No	0.13561420831639986	0.05354349678125858	883.9914650279552	0.030527000598625093	0.24070141603417464	No	SRF-
CCL25	7	No	0.11320724254064025	0.054005355163870006	906.4905434108302	0.007217174612382124	0.2191973104688984	No	SRF-
CCL25	1	Yes	0.07540414758321447	0.09588193320987815	892.8710024701087	-0.11277607703568461	0.26358437220211356	Yes	SRF+
CCL25	4	Yes	-0.2954073936290156	0.09794442823220255	943.2834923875843	-0.48762157766932024	-0.10319320958871092	Yes	SRF+
CCL25	7	Yes	-0.36368780315744964	0.09751261986829123	932.5253805197915	-0.5550574073807815	-0.17231819893411787	Yes	SRF+
TNFB	1	No	0.26200195077711863	0.04963854781779594	962.354056221008	0.16458967083371703	0.35941423072052026	No	SRF-
TNFB	4	No	0.34639077223326376	0.04958317568219022	959.1694246603751	0.24908674952543414	0.4436947949410934	No	SRF-
TNFB	7	No	0.39936853540503503	0.05008570064391279	984.9563965213849	0.30108158854971184	0.4976554822603582	No	SRF-
TNFB	1	Yes	-0.004497828443851853	0.08884199093221135	969.0056429843927	-0.17884269681583642	0.16984703992813271	Yes	SRF+
TNFB	4	Yes	-0.14730829619232821	0.09104486764177894	1024.034723162355	-0.3259641168809976	0.03134752449634118	Yes	SRF+
TNFB	7	Yes	-0.20496180663676153	0.09058238737398218	1012.2999245878733	-0.3827125482648975	-0.02721106500862558	Yes	SRF+
