Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
LIF-R	7	No	-0.2971896516645181	0.052849783211435214	997.1020850632125	-0.40089921192221634	-0.19348009140681985
LIF-R	1	Yes	0.5847089918780303	0.09373227948226695	980.844001519756	0.40077012358059894	0.7686478601754616
LIF-R	4	Yes	0.01928760257424776	0.0961003337722418	1036.3253426350936	-0.16928582832910455	0.20786103347760004
LIF-R	7	Yes	-0.35461888925254237	0.09560298103721457	1024.4982899692086	-0.5422189191589466	-0.16701885934613817
FGF-21	1	No	0.2591011774043014	0.050322068542795036	1135.895524080111	0.16036652968633636	0.3578358251222664
FGF-21	4	No	0.32193752832927497	0.05024731260850313	1132.1442493821646	0.2233492073990549	0.42052584925949504
FGF-21	7	No	0.08134073629706934	0.050903432182909235	1160.7244195264238	-0.01853229986906936	0.18121377246320802
FGF-21	1	Yes	0.28438734188816406	0.0901276101100228	1142.0493710378987	0.10755306329888573	0.4612216204774424
FGF-21	4	Yes	0.28560152724647087	0.09289907735624732	1196.8851947902108	0.1033383688085647	0.467864685684377
FGF-21	7	Yes	0.0324894361949295	0.09231447974544622	1185.3259698604493	-0.14862856002153527	0.21360743241139427
CCL19	1	No	0.3605825531339082	0.053665990623607336	793.0632589651243	0.25523837340903066	0.4659267328587857
CCL19	4	No	0.02316861409728889	0.053629300420035705	791.1357390585597	-0.08210393625756048	0.12844116445213827
CCL19	7	No	0.003678543722728257	0.05397746968328734	808.09514365833	-0.10227404447020544	0.10963113191566196
CCL19	1	Yes	0.5490388957903539	0.0959530826552129	798.10253952717	0.36068867402543126	0.7373891175552766
CCL19	4	Yes	0.09997088249135902	0.09754822681699409	838.5464300243638	-0.09149648746279337	0.2914382524455114
CCL19	7	Yes	0.05127792041800762	0.09721564467202083	829.9438569126635	-0.13953951714428997	0.24209535798030524
IL-10RB	1	No	0.10058088853895152	0.05281051224744857	862.0936366923007	-0.0030713358797833656	0.2042331129576864
IL-10RB	4	No	0.055551471352343465	0.05276458227858342	859.5936961532996	-0.048011028856699445	0.15911397156138637
IL-10RB	7	No	0.36716596809398205	0.05319181098177672	880.7862212824506	0.2627684760669559	0.4715634601210082
IL-10RB	1	Yes	-0.05156069781189858	0.094467297243612	868.0470800975132	-0.23697172043729142	0.1338503248134943
IL-10RB	4	Yes	-0.08155247858568489	0.09638742195490878	916.305388970721	-0.2707182209895921	0.1076132638182223
IL-10RB	7	Yes	0.15833962489804793	0.09598582511416819	906.0108764179732	-0.030040792083134066	0.3467200418792299
IL-18R1	1	No	0.32744725818754394	0.05074132468764445	829.4191973262335	0.22785075257653623	0.4270437637985517
IL-18R1	4	No	-0.3082353352665691	0.05070156793380042	827.1821196937308	-0.4077541985120151	-0.20871647202112306
IL-18R1	7	No	-0.5002111598989557	0.05107475834032095	846.4706825284826	-0.6004591874263847	-0.3999631323715267
IL-18R1	1	Yes	0.6491859194051793	0.09074693408884603	834.9843020720688	0.4710670082861166	0.8273048305242421
IL-18R1	4	Yes	0.13521913116882403	0.09243911282958905	879.870878383941	-0.04620776859140535	0.3166460309290534
IL-18R1	7	Yes	-0.045972424046508115	0.09208569528268333	870.3053510889556	-0.2267084202354978	0.13476357214248158
PD-L1	1	No	0.2226842523760223	0.051172219918415834	881.9070942344532	0.1222507085750428	0.32311779617700176
PD-L1	4	No	-0.173863391061214	0.0511251187185528	879.2561422730678	-0.2742049070903139	-0.0735218750321141
PD-L1	7	No	-0.3816944794333985	0.05156095030862751	901.5104192246498	-0.4828879438773756	-0.2805010149894214
PD-L1	1	Yes	0.6648786972262667	0.09154762108891246	888.0573260326139	0.48520377750478794	0.8445536169477454
PD-L1	4	Yes	0.5378763836723466	0.09349628180732626	938.0772705247507	0.35439029894969887	0.7213624683949943
PD-L1	7	Yes	0.2362895697916761	0.09308838401298247	927.4034467479727	0.053601266564755834	0.41897787301859635
CXCL5	1	No	0.02614756042507274	0.053960681384218376	883.3846252120047	-0.07975853489467791	0.1320536557448234
CXCL5	4	No	0.04066800295255941	0.05391081183286021	880.722689044133	-0.06514065449423931	0.14647666039935814
CXCL5	7	No	0.3350720458797991	0.054372082482330775	903.0532398341793	0.22836170160457508	0.44178239015502313
CXCL5	1	Yes	-0.041468610294907365	0.09653704192564905	889.5483647025342	-0.2309355278850048	0.14799830729519006
CXCL5	4	Yes	-0.00871165091190734	0.09859865793889118	939.6911925159607	-0.20221069935843838	0.1847873975346237
CXCL5	7	Yes	0.08139702263079637	0.09816709046110665	928.990972157405	-0.11125793997608771	0.2740519852376805
TRANCE	1	No	-0.18046912611479923	0.048117597854560844	1052.0252311694892	-0.27488651084402244	-0.08605174138557603
TRANCE	4	No	0.1930505856299963	0.048054344544114815	1048.4327630554774	0.09875694576521303	0.28734422549477956
TRANCE	7	No	0.6085439607996694	0.04861784668322718	1076.5427718081678	0.5131474794326333	0.7039404421667056
TRANCE	1	Yes	-0.5193619148677543	0.0861536014411996	1058.6825758297903	-0.6884131389558317	-0.3503106907796769
