Assay	Day	srf14	emmean	SE	df	lower.CL	upper.CL
IL6	4	Yes	0.5852269788234286	0.08843361951317058	1076.4461284117817	0.41170516401417373	0.7587487936326833
IL6	7	Yes	0.4619130578222597	0.08806783457446038	1067.5365791965278	0.28910735192361486	0.6347187637209046
MCP-1	1	No	0.02174161051335872	0.056802621439714256	1134.564356456362	-0.08970837551817153	0.13319159654488896
MCP-1	4	No	-0.10127715847635833	0.05628488928716073	1114.9783456629712	-0.21171339616199442	0.009159079209277748
MCP-1	7	No	0.03047589565193599	0.0573629047034035	1156.4829400155397	-0.08207112019025578	0.14302291149412777
MCP-1	1	Yes	0.4362430135841991	0.09371994945496469	1112.0096414307925	0.2523551393833019	0.6201308877850963
MCP-1	4	Yes	0.6495070486065452	0.096756358811379	1172.6338715136812	0.4596721304741821	0.8393419667389083
MCP-1	7	Yes	0.5728937745608689	0.09630862265375983	1163.9788030659022	0.38393585817344544	0.7618516909482923
CXCL11	1	No	0.5195897157028362	0.05598268580159123	991.717259707911	0.40973159166506173	0.6294478397406107
CXCL11	4	No	-0.1544886710528334	0.05556295579912335	973.3174093514191	-0.2635256528514994	-0.04545168925416736
CXCL11	7	No	-0.32424391981850387	0.056433499932415504	1012.042063751216	-0.43498398547494466	-0.21350385416206305
CXCL11	1	Yes	0.6672435270689087	0.09252757231798737	973.4088730464621	0.4856670451604458	0.8488200089773715
CXCL11	4	Yes	0.04353623696586975	0.09503618298461375	1033.4052503952742	-0.1429496740970491	0.2300221480287886
CXCL11	7	Yes	-0.08264516502547392	0.0946660171091397	1024.6242213158016	-0.2684065802708384	0.10311625021989054
AXIN1	1	No	-0.17279053811726378	0.05847429554229198	1147.7146815121766	-0.2875190403604708	-0.05806203587405674
AXIN1	4	No	6.971023316021673e-4	0.05793346833542414	1128.1927787722393	-0.11297235542195763	0.11436656008516197
AXIN1	7	No	0.28269053963842505	0.059059999627895925	1169.5931045874959	0.16681515482053072	0.3985659244563194
AXIN1	1	Yes	-0.35612719467921283	0.09646293434226001	1124.891596172473	-0.5453947167688765	-0.16685967258954917
AXIN1	4	Yes	-0.14898833036717285	0.09962979056499717	1185.0642892633377	-0.3444587717659826	0.046482111031636936
AXIN1	7	Yes	0.08784727783552955	0.09916287429607688	1176.4982971742122	-0.10670853709224438	0.2824030927633035
TRAIL	1	No	0.018830213774756688	0.05681207152578933	1077.6647991056402	-0.09264459931081832	0.13030502686033169
TRAIL	4	No	0.20591079272446888	0.05632878571680508	1058.149092106965	0.09538197544528101	0.3164396100036567
TRAIL	7	No	0.43590317484533453	0.057333470886762376	1099.3824696086858	0.3234077873980307	0.5483985622926384
TRAIL	1	Yes	-0.24872946935478832	0.09379957799837277	1056.532231080696	-0.4327841130666551	-0.06467482564292151
TRAIL	4	Yes	-0.23304627323921148	0.09665425221365692	1118.126960291636	-0.4226904111654919	-0.04340213531293105
TRAIL	7	Yes	-0.12565751966378041	0.0962331454008298	1109.2341913650946	-0.31447704937384846	0.06316201004628763
CXCL9	1	No	0.029589834424267394	0.05719107286048661	989.6671946195039	-0.08263986283376451	0.1418195316822993
CXCL9	4	No	-0.15314660151942094	0.05676374535187983	971.3079506494734	-0.2645403047890934	-0.041752898249748455
CXCL9	7	No	-0.02966050130218014	0.05764999909132917	1009.9436838570325	-0.14278799781294382	0.08346699520858353
CXCL9	1	Yes	0.4574000829611155	0.094527196917958	971.4344824278144	0.2718990602928715	0.6429011056293595
CXCL9	4	Yes	0.3189523046528623	0.09708197298516871	1031.3472299881353	0.128451571432601	0.5094530378731236
CXCL9	7	Yes	0.48548452750052407	0.096704994031983	1022.5759822253655	0.29572161515903594	0.6752474398420122
CST5	1	No	-0.16028998944686731	0.058790000334250254	810.681841070965	-0.27568856073773	-0.044891418156004614
