Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
SLAMF1	srf14	1.995123680562908	1.995123680562908	1	575.456056156484	3.852826116180978	0.0501435420935024	0.07470024603250008
SLAMF1	DEXcorrected	5.965035010838587	5.965035010838587	1	561.9179588132647	11.51920700335156	7.373721695365631e-4	0.0022456334254068056
SLAMF1	cbmi	3.6739902679725347	3.6739902679725347	1	559.2898368780928	7.094921379032273	0.007953106943896046	0.040139229810741237
SLAMF1	Age	6.738622114045396	6.738622114045396	1	561.3176117049529	13.013097644524773	3.36917964236456e-4	9.81456678427937e-4
SLAMF1	Gender	5.627762776425245	5.627762776425245	1	564.4105577994576	10.867893360157366	0.0010399412369733016	0.005806338573100933
SLAMF1	Day:srf14	0.5826785273893214	0.2913392636946607	2	1051.8274031552046	0.5626114986089619	0.5698906503539879	0.6698714662055648
TGF-alpha	Day	18.71136494904226	9.35568247452113	2	1052.3119480610749	18.22847706788287	1.6501307766540467e-8	2.512699137177753e-8
TGF-alpha	srf14	0.8836181686197516	0.8836181686197516	1	577.0915462111377	1.7216289209595304	0.19000516567746634	0.24481434808442779
TGF-alpha	DEXcorrected	4.625136583604081	4.625136583604081	1	563.6998614801169	9.01154954538669	0.0028016197968935364	0.007141977517877678
TGF-alpha	cbmi	0.021421677783090814	0.021421677783090814	1	561.1195077176884	0.04173768864944658	0.8381946796078679	0.975305000895404
TGF-alpha	Age	0.024605600505355926	0.024605600505355926	1	563.1432828254794	0.047941197852198934	0.8267646003553437	0.8522035111355081
TGF-alpha	Gender	3.126538230440893	3.126538230440893	1	566.2043766832662	6.09170208487308	0.013876230284964677	0.03819809790330298
TGF-alpha	Day:srf14	6.241867130399581	3.1209335651997905	2	1052.315291183962	6.080782035790736	0.0023675188730493454	0.011330268892450437
MCP-4	Day	92.96944637844801	46.484723189224006	2	1036.4391438400123	167.79931971015816	7.401476409567335e-64	6.198736493012643e-63
MCP-4	srf14	0.5423278897644428	0.5423278897644428	1	582.9018189598951	1.9576808189623707	0.16229345848161966	0.21747323436537036
MCP-4	DEXcorrected	2.220910788908529	2.220910788908529	1	573.9511425827732	8.016984805928518	0.004796569916280483	0.011081730496234218
MCP-4	cbmi	0.004903007926504022	0.004903007926504022	1	572.4519037949957	0.017698747849951908	0.8942111538413453	0.9821663493011499
MCP-4	Age	1.3462336458804538	1.3462336458804538	1	574.0137986516121	4.859598475613449	0.02788872784155046	0.05190402126066336
